
['is'],o
['so'],o
['soothing'],o
['Keep'],o
['growing'],o
['jabeen5370'],per
['Healthy'],o
['shantibhakat'],per
['Hi'],o
['pls'],o
['share'],o
['chutney'],o
['recipe'],o
['hcanchi'],o
['adai'],o
['very'],o
['common'],o
['in'],o
['south'],o
['india'],loc
['tasty'],o
['n'],o
['healthy'],o
['too'],o
['angelic_anu_ss'],o
['Aj'],o
['mai'],o
['ye'],o
['dhosa'],o
['bnai'],o
['really'],o
['bht'],o
['hi'],o
['teasty'],o
['bna'],o
['Tq'],o
['so'],o
['much'],o
['ma'],o
['am'],o
['for'],o
['healthy'],o
['recipes'],o
['muasonayadav6290'],per
['Diet'],o
['me'],o
['b'],o
['le'],o
['skte'],o
['h'],o
